[2023-08-20 08:09:44.711] [info]  [Settings] Migrating launcher.json from 0.0.0 to 3.0.0
[2023-08-20 08:09:44.778] [info]  [Settings] Migrating launcher.json from 3.0.0 to 3.0.1
[2023-08-20 08:09:44.789] [info]  [Settings] Migrating launcher.json from 3.0.1 to 3.0.2
[2023-08-20 08:09:44.804] [info]  [Settings] Migrating launcher.json from 3.0.2 to 3.0.3
[2023-08-20 08:09:44.813] [info]  [Settings] Settings loaded.
[2023-08-20 08:09:44.850] [info]  [Cache] Cache loaded.
[2023-10-24 15:04:07.333] [info]  [Settings] Settings loaded.
[2023-10-24 15:04:07.357] [info]  [Cache] Cache loaded.
[2023-10-28 23:57:11.608] [info]  [Settings] Settings loaded.
[2023-10-28 23:57:11.652] [info]  [Cache] Cache loaded.
[2023-11-03 00:45:54.122] [info]  [Settings] Settings loaded.
[2023-11-03 00:45:54.149] [info]  [Cache] Cache loaded.
[2023-11-03 00:51:05.147] [info]  [Settings] Settings loaded.
[2023-11-03 00:51:05.173] [info]  [Cache] Cache loaded.
[2023-12-28 17:02:20.396] [info]  [Settings] Migrating launcher.json from 3.1.0 to 3.1.1
[2023-12-28 17:02:20.405] [info]  [Settings] Settings loaded.
[2023-12-28 17:02:20.419] [info]  [Cache] Cache loaded.
[2023-12-28 17:48:22.191] [info]  [Settings] Settings loaded.
[2023-12-28 17:48:22.208] [info]  [Cache] Cache loaded.
[2023-12-30 17:58:56.906] [info]  [Settings] Settings loaded.
[2023-12-30 17:58:56.922] [info]  [Cache] Cache loaded.
